"Name","Citizenship"
"Description","Native Citizen: Individuals who were born in the United States, Puerto Rico, a U.S. Island Area (such as Guam), or abroad of American (U.S. citizen) parent or parents are considered U.S. citizens at birth.<br />
Naturalized Citizens: Foreign-born individuals&nbsp;who are U.S. citizens through naturalization.&nbsp;<br />
Non-Citizens:&nbsp; Individuals who are not currently citizens of the U.S."
"Source Notes","<span style=""font-family: GestaCond-Regular, GestaCond-Regular, Tahoma, Arial, sans-serif; color: #333333;""></span><span style=""font-family: GestaCond-Regular, GestaCond-Regular, Tahoma, Arial, sans-serif; color: #333333;""></span>U.S. Census Bureau, American Community Survey 1-Year Estimates, Table B05002 (2005-2023); retrieved from&nbsp;<a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>."
"Notes","<normal>Percents refer&nbsp;to the share of the total population for that year.&nbsp;<br />
<br />
<span style=""background-color: #ffffff; border: 0px; font-variant: inherit; font-weight: inherit; font-stretch: inherit; line-height: inherit; margin: 0px; padding: 0px; vertical-align: baseline;"">We do not report 2020 American Community Survey 1-year estimates. Due to disruptions and biases in data collection during 2020, the Census Bureau released the &ldquo;experimental&rdquo; 1-year estimates for 2020 and advises against comparing against estimates from prior or future years.<span style=""font-variant: inherit; font-weight: inherit; font-stretch: inherit; line-height: inherit; border: 0px; margin: 0px; padding: 0px; vertical-align: baseline; color: inherit;"">&nbsp;<br />
</span></span><br />
Please note that the citizenship question on the American Community Survey (ACS) has seen higher levels of non-response in recent years. In New York State, the share of ACS respondents who skipped this question exceeded 8% in 2018 &mdash; greater than for any other demographic questions. For this reason, while the data remain reliable, the <em>number</em>&nbsp;values should be interpreted with caution; for smaller estimates at the community district level, the average margin of error was 13% of the estimated value for 2018 data.</normal><br />
<br />
For more information:<br />
<blockquote style=""margin: 0px 0px 0px 40px; border: none; padding: 0px;"">O'Hare, W. (2018). ""Citizenship Question Nonresponse: A Demographic Profile of People Who Do Not Answer the American Community Survey Citizenship Question."" <em>Center on Poverty and Inequality at Georgetown Law</em>. Retrieved from:&nbsp;<a href=""http://www.georgetownpoverty.org/wp-content/uploads/2018/09/GCPI-ESOI-Demographic-Profile-of-People-Who-Do-Not-Respond-to-the-Citizenship-Question-20180906.pdf"">http://www.georgetownpoverty.org/wp-content/uploads/2018/09/GCPI-ESOI-Demographic-Profile-of-People-Who-Do-Not-Respond-to-the-Citizenship-Question-20180906.pdf</a></blockquote>"
Williamsbridge,Native Citizen,2018,Percent,0.63235,212
Williamsburg/Greenpoint,Native Citizen,2018,Percent,0.79984,301
Fort Greene/Brooklyn Hts,Native Citizen,2018,Percent,0.81296,302
Bedford Stuyvesant,Native Citizen,2018,Percent,0.80537,303
Bushwick,Native Citizen,2018,Percent,0.72387,304
East New York,Native Citizen,2018,Percent,0.64389,305
Park Slope,Native Citizen,2018,Percent,0.82806,306
Sunset Park,Native Citizen,2018,Percent,0.55921,307
Crown Heights North,Native Citizen,2018,Percent,0.73082,308
Crown Heights South,Native Citizen,2018,Percent,0.62473,309
Bay Ridge,Native Citizen,2018,Percent,0.6124,310
Bensonhurst,Native Citizen,2018,Percent,0.45519,311
Borough Park,Native Citizen,2018,Percent,0.73323,312
Coney Island,Native Citizen,2018,Percent,0.45011,313
Flatbush/Midwood,Native Citizen,2018,Percent,0.57654,314
Sheepshead Bay,Native Citizen,2018,Percent,0.51536,315
Brownsville,Native Citizen,2018,Percent,0.69337,316
East Flatbush,Native Citizen,2018,Percent,0.49345,317
Canarsie,Native Citizen,2018,Percent,0.5962,318
Astoria,Native Citizen,2018,Percent,0.61409,401
Sunnyside/Woodside,Native Citizen,2018,Percent,0.45285,402
Jackson Heights,Native Citizen,2018,Percent,0.40127,403
Elmhurst/Corona,Native Citizen,2018,Percent,0.35849,404
Ridgewood/Glendale,Native Citizen,2018,Percent,0.61461,405
Rego Park/Forest Hills,Native Citizen,2018,Percent,0.48589,406
Flushing,Native Citizen,2018,Percent,0.43229,407
Fresh Meadows/Briarwood,Native Citizen,2018,Percent,0.55383,408
Woodhaven,Native Citizen,2018,Percent,0.4847,409
Howard Beach,Native Citizen,2018,Percent,0.53293,410
Bayside,Native Citizen,2018,Percent,0.55235,411
Jamaica/St. Albans,Native Citizen,2018,Percent,0.58316,412
Queens Village,Native Citizen,2018,Percent,0.57573,413
The Rockaways,Native Citizen,2018,Percent,0.70504,414
St. George,Native Citizen,2018,Percent,0.71618,501
South Beach,Native Citizen,2018,Percent,0.70061,502
Tottenville,Native Citizen,2018,Percent,0.82185,503
Bronx,Native Citizen,2018,Percent,0.65582,36005
Brooklyn,Native Citizen,2018,Percent,0.64442,36047
Manhattan,Native Citizen,2018,Percent,0.70777,36061
Queens,Native Citizen,2018,Percent,0.52355,36081
Staten Island,Native Citizen,2018,Percent,0.74797,36085
New York City,Native Citizen,2018,Percent,0.63172,3651000
Battery Park/Tribeca,Naturalized Citizen,2018,Number,5648.96793,101
Greenwich Village,Naturalized Citizen,2018,Number,8339.03207,102
Lower East Side,Naturalized Citizen,2018,Number,30679,103
Chelsea/Clinton,Naturalized Citizen,2018,Number,16699.2213,104
Midtown Business District,Naturalized Citizen,2018,Number,8357.7787,105
Murray Hill/Stuyvesant,Naturalized Citizen,2018,Number,15411,106
Upper West Side,Naturalized Citizen,2018,Number,21935,107
Upper East Side,Naturalized Citizen,2018,Number,21866,108
Manhattanville,Naturalized Citizen,2018,Number,24770,109
Central Harlem,Naturalized Citizen,2018,Number,20129,110
East Harlem,Naturalized Citizen,2018,Number,12981,111
Washington Heights,Naturalized Citizen,2018,Number,56603,112
Mott Haven,Naturalized Citizen,2018,Number,12784.74253,201
Hunts Point,Naturalized Citizen,2018,Number,7300.25747,202
Morrisania,Naturalized Citizen,2018,Number,11514.92628,203
Concourse/Highbridge,Naturalized Citizen,2018,Number,27060,204
University Heights,Naturalized Citizen,2018,Number,23781,205
East Tremont,Naturalized Citizen,2018,Number,12021.07372,206
Bedford Park,Naturalized Citizen,2018,Number,24322,207
Riverdale,Naturalized Citizen,2018,Number,20496,208
Unionport/Soundview,Naturalized Citizen,2018,Number,33744,209
Throgs Neck,Naturalized Citizen,2018,Number,16575,210
Pelham Parkway,Naturalized Citizen,2018,Number,21979,211
Williamsbridge,Naturalized Citizen,2018,Number,32252,212
Williamsburg/Greenpoint,Naturalized Citizen,2018,Number,17076,301
Fort Greene/Brooklyn Hts,Naturalized Citizen,2018,Number,12725,302
Bedford Stuyvesant,Naturalized Citizen,2018,Number,16135,303
Bushwick,Naturalized Citizen,2018,Number,16872,304
East New York,Naturalized Citizen,2018,Number,40969,305
Park Slope,Naturalized Citizen,2018,Number,11422,306
Sunset Park,Naturalized Citizen,2018,Number,24064,307
Crown Heights North,Naturalized Citizen,2018,Number,23150,308
Crown Heights South,Naturalized Citizen,2018,Number,27796,309
Bay Ridge,Naturalized Citizen,2018,Number,29550,310
Bensonhurst,Naturalized Citizen,2018,Number,60960,311
Borough Park,Naturalized Citizen,2018,Number,21923,312
Coney Island,Naturalized Citizen,2018,Number,42995,313
Flatbush/Midwood,Naturalized Citizen,2018,Number,40499,314
Sheepshead Bay,Naturalized Citizen,2018,Number,54210,315
Brownsville,Naturalized Citizen,2018,Number,22315,316
East Flatbush,Naturalized Citizen,2018,Number,46254,317
Canarsie,Naturalized Citizen,2018,Number,60239,318
Astoria,Naturalized Citizen,2018,Number,36755,401
Sunnyside/Woodside,Naturalized Citizen,2018,Number,33624,402
Jackson Heights,Naturalized Citizen,2018,Number,43263,403
Elmhurst/Corona,Naturalized Citizen,2018,Number,44622,404
Ridgewood/Glendale,Naturalized Citizen,2018,Number,43462,405
Rego Park/Forest Hills,Naturalized Citizen,2018,Number,39774,406
Flushing,Naturalized Citizen,2018,Number,68387,407
Fresh Meadows/Briarwood,Naturalized Citizen,2018,Number,48091,408
Woodhaven,Naturalized Citizen,2018,Number,43773,409
Howard Beach,Naturalized Citizen,2018,Number,44815,410
Bayside,Naturalized Citizen,2018,Number,35180,411
Jamaica/St. Albans,Naturalized Citizen,2018,Number,66177,412
Queens Village,Naturalized Citizen,2018,Number,59883,413
The Rockaways,Naturalized Citizen,2018,Number,24812,414
St. George,Naturalized Citizen,2018,Number,29175,501
South Beach,Naturalized Citizen,2018,Number,30103,502
Tottenville,Naturalized Citizen,2018,Number,22943,503
Bronx,Naturalized Citizen,2018,Number,243830,36005
Brooklyn,Naturalized Citizen,2018,Number,569154,36047
Manhattan,Naturalized Citizen,2018,Number,243419,36061
Queens,Naturalized Citizen,2018,Number,632545,36081
Staten Island,Naturalized Citizen,2018,Number,82221,36085
New York City,Naturalized Citizen,2018,Number,1771169,3651000
Battery Park/Tribeca,Naturalized Citizen,2018,Percent,0.09204,101
Greenwich Village,Naturalized Citizen,2018,Percent,0.09204,102
Lower East Side,Naturalized Citizen,2018,Percent,0.19741,103
Chelsea/Clinton,Naturalized Citizen,2018,Percent,0.15145,104
Midtown Business District,Naturalized Citizen,2018,Percent,0.15145,105
Murray Hill/Stuyvesant,Naturalized Citizen,2018,Percent,0.10733,106
Upper West Side,Naturalized Citizen,2018,Percent,0.11471,107
Upper East Side,Naturalized Citizen,2018,Percent,0.10694,108
Manhattanville,Naturalized Citizen,2018,Percent,0.17031,109
Central Harlem,Naturalized Citizen,2018,Percent,0.13758,110
East Harlem,Naturalized Citizen,2018,Percent,0.11716,111
Washington Heights,Naturalized Citizen,2018,Percent,0.26445,112
Mott Haven,Naturalized Citizen,2018,Percent,0.12247,201
Hunts Point,Naturalized Citizen,2018,Percent,0.12247,202
Morrisania,Naturalized Citizen,2018,Percent,0.13414,203
Concourse/Highbridge,Naturalized Citizen,2018,Percent,0.19804,204
University Heights,Naturalized Citizen,2018,Percent,0.17019,205
East Tremont,Naturalized Citizen,2018,Percent,0.13414,206
Bedford Park,Naturalized Citizen,2018,Percent,0.1818,207
Riverdale,Naturalized Citizen,2018,Percent,0.17102,208
Unionport/Soundview,Naturalized Citizen,2018,Percent,0.18452,209
Throgs Neck,Naturalized Citizen,2018,Percent,0.1392,210
Pelham Parkway,Naturalized Citizen,2018,Percent,0.17593,211
Williamsbridge,Naturalized Citizen,2018,Percent,0.2375,212
Williamsburg/Greenpoint,Naturalized Citizen,2018,Percent,0.10516,301
Fort Greene/Brooklyn Hts,Naturalized Citizen,2018,Percent,0.08725,302
Bedford Stuyvesant,Naturalized Citizen,2018,Percent,0.10402,303
Bushwick,Naturalized Citizen,2018,Percent,0.13922,304
East New York,Naturalized Citizen,2018,Percent,0.23935,305
Park Slope,Naturalized Citizen,2018,Percent,0.09817,306
Sunset Park,Naturalized Citizen,2018,Percent,0.1811,307
Crown Heights North,Naturalized Citizen,2018,Percent,0.16976,308
Crown Heights South,Naturalized Citizen,2018,Percent,0.24941,309
Bay Ridge,Naturalized Citizen,2018,Percent,0.23602,310
Bensonhurst,Naturalized Citizen,2018,Percent,0.32625,311
Borough Park,Naturalized Citizen,2018,Percent,0.15821,312
Coney Island,Naturalized Citizen,2018,Percent,0.37935,313
Flatbush/Midwood,Naturalized Citizen,2018,Percent,0.26157,314
Sheepshead Bay,Naturalized Citizen,2018,Percent,0.34264,315
Brownsville,Naturalized Citizen,2018,Percent,0.18272,316
East Flatbush,Naturalized Citizen,2018,Percent,0.34028,317
Canarsie,Naturalized Citizen,2018,Percent,0.30888,318
Astoria,Naturalized Citizen,2018,Percent,0.22847,401
Sunnyside/Woodside,Naturalized Citizen,2018,Percent,0.24456,402
Jackson Heights,Naturalized Citizen,2018,Percent,0.23799,403
Elmhurst/Corona,Naturalized Citizen,2018,Percent,0.29722,404
Ridgewood/Glendale,Naturalized Citizen,2018,Percent,0.23311,405
Rego Park/Forest Hills,Naturalized Citizen,2018,Percent,0.33677,406
Flushing,Naturalized Citizen,2018,Percent,0.28614,407
Fresh Meadows/Briarwood,Naturalized Citizen,2018,Percent,0.29214,408
Woodhaven,Naturalized Citizen,2018,Percent,0.31473,409
Howard Beach,Naturalized Citizen,2018,Percent,0.34757,410
Bayside,Naturalized Citizen,2018,Percent,0.30395,411
Jamaica/St. Albans,Naturalized Citizen,2018,Percent,0.27398,412
Queens Village,Naturalized Citizen,2018,Percent,0.31893,413
The Rockaways,Naturalized Citizen,2018,Percent,0.19434,414
St. George,Naturalized Citizen,2018,Percent,0.16709,501
South Beach,Naturalized Citizen,2018,Percent,0.21818,502
Tottenville,Naturalized Citizen,2018,Percent,0.14024,503
Bronx,Naturalized Citizen,2018,Percent,0.17026,36005
Brooklyn,Naturalized Citizen,2018,Percent,0.22036,36047
Manhattan,Naturalized Citizen,2018,Percent,0.14946,36061
Queens,Naturalized Citizen,2018,Percent,0.27757,36081
Staten Island,Naturalized Citizen,2018,Percent,0.17267,36085
New York City,Naturalized Citizen,2018,Percent,0.21088,3651000
Battery Park/Tribeca,Non-Citizens,2018,Number,7373.38122,101
Greenwich Village,Non-Citizens,2018,Number,10884.61878,102
Lower East Side,Non-Citizens,2018,Number,17373,103
Chelsea/Clinton,Non-Citizens,2018,Number,17280.36513,104
Midtown Business District,Non-Citizens,2018,Number,8648.63487,105
Murray Hill/Stuyvesant,Non-Citizens,2018,Number,20010,106
Upper West Side,Non-Citizens,2018,Number,24182,107
Upper East Side,Non-Citizens,2018,Number,25562,108
Manhattanville,Non-Citizens,2018,Number,27868,109
Central Harlem,Non-Citizens,2018,Number,17299,110
East Harlem,Non-Citizens,2018,Number,14009,111
Washington Heights,Non-Citizens,2018,Number,42045,112
Mott Haven,Non-Citizens,2018,Number,16899.28451,201
Hunts Point,Non-Citizens,2018,Number,9649.71549,202
Morrisania,Non-Citizens,2018,Number,15095.72784,203
Concourse/Highbridge,Non-Citizens,2018,Number,29813,204
University Heights,Non-Citizens,2018,Number,34503,205
East Tremont,Non-Citizens,2018,Number,15759.27216,206
Bedford Park,Non-Citizens,2018,Number,36105,207
Riverdale,Non-Citizens,2018,Number,14855,208
Unionport/Soundview,Non-Citizens,2018,Number,31400,209
Throgs Neck,Non-Citizens,2018,Number,7926,210
Pelham Parkway,Non-Citizens,2018,Number,19406,211
Williamsbridge,Non-Citizens,2018,Number,17675,212
Williamsburg/Greenpoint,Non-Citizens,2018,Number,15426,301
Fort Greene/Brooklyn Hts,Non-Citizens,2018,Number,14553,302
Bedford Stuyvesant,Non-Citizens,2018,Number,14056,303
Bushwick,Non-Citizens,2018,Number,16592,304
East New York,Non-Citizens,2018,Number,19987,305
Park Slope,Non-Citizens,2018,Number,8583,306
Sunset Park,Non-Citizens,2018,Number,34506,307
Crown Heights North,Non-Citizens,2018,Number,13557,308
Crown Heights South,Non-Citizens,2018,Number,14027,309
Bay Ridge,Non-Citizens,2018,Number,18977,310
Bensonhurst,Non-Citizens,2018,Number,40838,311
Borough Park,Non-Citizens,2018,Number,15044,312
Coney Island,Non-Citizens,2018,Number,19329,313
Flatbush/Midwood,Non-Citizens,2018,Number,25067,314
Sheepshead Bay,Non-Citizens,2018,Number,22467,315
Brownsville,Non-Citizens,2018,Number,15133,316
East Flatbush,Non-Citizens,2018,Number,22602,317
Canarsie,Non-Citizens,2018,Number,18512,318
Astoria,Non-Citizens,2018,Number,25327,401
Sunnyside/Woodside,Non-Citizens,2018,Number,41603,402
Jackson Heights,Non-Citizens,2018,Number,65579,403
Elmhurst/Corona,Non-Citizens,2018,Number,51689,404
Ridgewood/Glendale,Non-Citizens,2018,Number,28390,405
Rego Park/Forest Hills,Non-Citizens,2018,Number,20945,406
Flushing,Non-Citizens,2018,Number,67295,407
Fresh Meadows/Briarwood,Non-Citizens,2018,Number,25355,408
Woodhaven,Non-Citizens,2018,Number,27894,409
Howard Beach,Non-Citizens,2018,Number,15407,410
Bayside,Non-Citizens,2018,Number,16633,411
Jamaica/St. Albans,Non-Citizens,2018,Number,34507,412
Queens Village,Non-Citizens,2018,Number,19779,413
The Rockaways,Non-Citizens,2018,Number,12847,414
St. George,Non-Citizens,2018,Number,20382,501
South Beach,Non-Citizens,2018,Number,11205,502
Tottenville,Non-Citizens,2018,Number,6202,503
Bronx,Non-Citizens,2018,Number,249087,36005
Brooklyn,Non-Citizens,2018,Number,349256,36047
Manhattan,Non-Citizens,2018,Number,232535,36061
Queens,Non-Citizens,2018,Number,453250,36081
Staten Island,Non-Citizens,2018,Number,37789,36085
New York City,Non-Citizens,2018,Number,1321917,3651000
Battery Park/Tribeca,Non-Citizens,2018,Percent,0.12014,101
Greenwich Village,Non-Citizens,2018,Percent,0.12014,102
Lower East Side,Non-Citizens,2018,Percent,0.11179,103
Chelsea/Clinton,Non-Citizens,2018,Percent,0.15672,104
Midtown Business District,Non-Citizens,2018,Percent,0.15672,105
Murray Hill/Stuyvesant,Non-Citizens,2018,Percent,0.13936,106
Upper West Side,Non-Citizens,2018,Percent,0.12646,107
Upper East Side,Non-Citizens,2018,Percent,0.12502,108
Manhattanville,Non-Citizens,2018,Percent,0.19161,109
Central Harlem,Non-Citizens,2018,Percent,0.11824,110
East Harlem,Non-Citizens,2018,Percent,0.12644,111
Washington Heights,Non-Citizens,2018,Percent,0.19644,112
Mott Haven,Non-Citizens,2018,Percent,0.16188,201
Hunts Point,Non-Citizens,2018,Percent,0.16188,202
Morrisania,Non-Citizens,2018,Percent,0.17586,203
Concourse/Highbridge,Non-Citizens,2018,Percent,0.21819,204
University Heights,Non-Citizens,2018,Percent,0.24692,205
East Tremont,Non-Citizens,2018,Percent,0.17586,206
Bedford Park,Non-Citizens,2018,Percent,0.26988,207
Riverdale,Non-Citizens,2018,Percent,0.12395,208
Unionport/Soundview,Non-Citizens,2018,Percent,0.1717,209
Throgs Neck,Non-Citizens,2018,Percent,0.06657,210
Pelham Parkway,Non-Citizens,2018,Percent,0.15533,211
Williamsbridge,Non-Citizens,2018,Percent,0.13016,212
Williamsburg/Greenpoint,Non-Citizens,2018,Percent,0.095,301
Fort Greene/Brooklyn Hts,Non-Citizens,2018,Percent,0.09979,302
Bedford Stuyvesant,Non-Citizens,2018,Percent,0.09062,303
Bushwick,Non-Citizens,2018,Percent,0.13691,304
East New York,Non-Citizens,2018,Percent,0.11677,305
Park Slope,Non-Citizens,2018,Percent,0.07377,306
Sunset Park,Non-Citizens,2018,Percent,0.25969,307
Crown Heights North,Non-Citizens,2018,Percent,0.09942,308
Crown Heights South,Non-Citizens,2018,Percent,0.12586,309
Bay Ridge,Non-Citizens,2018,Percent,0.15157,310
Bensonhurst,Non-Citizens,2018,Percent,0.21856,311
Borough Park,Non-Citizens,2018,Percent,0.10857,312
Coney Island,Non-Citizens,2018,Percent,0.17054,313
Flatbush/Midwood,Non-Citizens,2018,Percent,0.1619,314
Sheepshead Bay,Non-Citizens,2018,Percent,0.142,315
Brownsville,Non-Citizens,2018,Percent,0.12391,316
East Flatbush,Non-Citizens,2018,Percent,0.16628,317
Canarsie,Non-Citizens,2018,Percent,0.09492,318
Astoria,Non-Citizens,2018,Percent,0.15744,401
Sunnyside/Woodside,Non-Citizens,2018,Percent,0.30259,402
Jackson Heights,Non-Citizens,2018,Percent,0.36075,403
Elmhurst/Corona,Non-Citizens,2018,Percent,0.34429,404
Ridgewood/Glendale,Non-Citizens,2018,Percent,0.15227,405
Rego Park/Forest Hills,Non-Citizens,2018,Percent,0.17734,406
Flushing,Non-Citizens,2018,Percent,0.28157,407
Fresh Meadows/Briarwood,Non-Citizens,2018,Percent,0.15403,408
Woodhaven,Non-Citizens,2018,Percent,0.20056,409
Howard Beach,Non-Citizens,2018,Percent,0.11949,410
Bayside,Non-Citizens,2018,Percent,0.14371,411
Jamaica/St. Albans,Non-Citizens,2018,Percent,0.14286,412
Queens Village,Non-Citizens,2018,Percent,0.10534,413
The Rockaways,Non-Citizens,2018,Percent,0.10062,414
St. George,Non-Citizens,2018,Percent,0.11673,501
South Beach,Non-Citizens,2018,Percent,0.08121,502
Tottenville,Non-Citizens,2018,Percent,0.03791,503
Bronx,Non-Citizens,2018,Percent,0.17393,36005
Brooklyn,Non-Citizens,2018,Percent,0.13522,36047
Manhattan,Non-Citizens,2018,Percent,0.14277,36061
Queens,Non-Citizens,2018,Percent,0.19889,36081
Staten Island,Non-Citizens,2018,Percent,0.07936,36085
New York City,Non-Citizens,2018,Percent,0.15739,3651000
Battery Park/Tribeca,Native Citizen,2019,Number,51416.18889,101
Greenwich Village,Native Citizen,2019,Number,75900.81111,102
Lower East Side,Native Citizen,2019,Number,107543,103
Chelsea/Clinton,Native Citizen,2019,Number,81363.46858,104
Midtown Business District,Native Citizen,2019,Number,40721.53142,105
Murray Hill/Stuyvesant,Native Citizen,2019,Number,113965,106
Upper West Side,Native Citizen,2019,Number,140086,107
Upper East Side,Native Citizen,2019,Number,162537,108
Manhattanville,Native Citizen,2019,Number,88910,109
Central Harlem,Native Citizen,2019,Number,108420,110
East Harlem,Native Citizen,2019,Number,89718,111
Washington Heights,Native Citizen,2019,Number,114972,112
Mott Haven,Native Citizen,2019,Number,68865.74604,201
Hunts Point,Native Citizen,2019,Number,39323.25396,202
Morrisania,Native Citizen,2019,Number,59328.58327,203
Concourse/Highbridge,Native Citizen,2019,Number,88051,204
University Heights,Native Citizen,2019,Number,78562,205
East Tremont,Native Citizen,2019,Number,61936.41673,206
Bedford Park,Native Citizen,2019,Number,84313,207
Riverdale,Native Citizen,2019,Number,71449,208
Unionport/Soundview,Native Citizen,2019,Number,130162,209
Throgs Neck,Native Citizen,2019,Number,83955,210
Pelham Parkway,Native Citizen,2019,Number,84950,211
Williamsbridge,Native Citizen,2019,Number,89633,212
Williamsburg/Greenpoint,Native Citizen,2019,Number,114664,301
Fort Greene/Brooklyn Hts,Native Citizen,2019,Number,107189,302
Bedford Stuyvesant,Native Citizen,2019,Number,116791,303
Bushwick,Native Citizen,2019,Number,88103,304
East New York,Native Citizen,2019,Number,122080,305
Park Slope,Native Citizen,2019,Number,94987,306
Sunset Park,Native Citizen,2019,Number,70602,307
Crown Heights North,Native Citizen,2019,Number,97863,308
Crown Heights South,Native Citizen,2019,Number,69100,309
Bay Ridge,Native Citizen,2019,Number,75500,310
Bensonhurst,Native Citizen,2019,Number,81320,311
Borough Park,Native Citizen,2019,Number,112831,312
Coney Island,Native Citizen,2019,Number,52320,313
Flatbush/Midwood,Native Citizen,2019,Number,94261,314
Sheepshead Bay,Native Citizen,2019,Number,76613,315
Brownsville,Native Citizen,2019,Number,95484,316
East Flatbush,Native Citizen,2019,Number,70544,317
Canarsie,Native Citizen,2019,Number,114161,318
Astoria,Native Citizen,2019,Number,107039,401
Sunnyside/Woodside,Native Citizen,2019,Number,64956,402
Jackson Heights,Native Citizen,2019,Number,70254,403
Elmhurst/Corona,Native Citizen,2019,Number,54411,404
Ridgewood/Glendale,Native Citizen,2019,Number,106226,405
Rego Park/Forest Hills,Native Citizen,2019,Number,53143,406
Flushing,Native Citizen,2019,Number,105777,407
Fresh Meadows/Briarwood,Native Citizen,2019,Number,89864,408
Woodhaven,Native Citizen,2019,Number,68975,409
Howard Beach,Native Citizen,2019,Number,66863,410
Bayside,Native Citizen,2019,Number,66687,411
Jamaica/St. Albans,Native Citizen,2019,Number,132567,412
Queens Village,Native Citizen,2019,Number,112282,413
The Rockaways,Native Citizen,2019,Number,81898,414
St. George,Native Citizen,2019,Number,132640,501
South Beach,Native Citizen,2019,Number,96904,502
Tottenville,Native Citizen,2019,Number,134753,503
Bronx,Native Citizen,2019,Number,940529,36005
Brooklyn,Native Citizen,2019,Number,1654413,36047
Manhattan,Native Citizen,2019,Number,1175553,36061
Queens,Native Citizen,2019,Number,1180942,36081
Staten Island,Native Citizen,2019,Number,364297,36085
New York City,Native Citizen,2019,Number,5315734,3651000
Battery Park/Tribeca,Native Citizen,2019,Percent,0.7739,101
Greenwich Village,Native Citizen,2019,Percent,0.7739,102
Lower East Side,Native Citizen,2019,Percent,0.64348,103
Chelsea/Clinton,Native Citizen,2019,Percent,0.72978,104
Midtown Business District,Native Citizen,2019,Percent,0.72978,105
Murray Hill/Stuyvesant,Native Citizen,2019,Percent,0.76753,106
Upper West Side,Native Citizen,2019,Percent,0.77963,107
Upper East Side,Native Citizen,2019,Percent,0.74945,108
Manhattanville,Native Citizen,2019,Percent,0.66932,109
Central Harlem,Native Citizen,2019,Percent,0.79515,110
East Harlem,Native Citizen,2019,Percent,0.80499,111
Washington Heights,Native Citizen,2019,Percent,0.56332,112
Mott Haven,Native Citizen,2019,Percent,0.73686,201
Hunts Point,Native Citizen,2019,Percent,0.73686,202
Morrisania,Native Citizen,2019,Percent,0.70124,203
Concourse/Highbridge,Native Citizen,2019,Percent,0.62489,204
University Heights,Native Citizen,2019,Percent,0.56843,205
East Tremont,Native Citizen,2019,Percent,0.70124,206
Bedford Park,Native Citizen,2019,Percent,0.55585,207
Riverdale,Native Citizen,2019,Percent,0.68603,208
Unionport/Soundview,Native Citizen,2019,Percent,0.72986,209
Throgs Neck,Native Citizen,2019,Percent,0.75715,210
Pelham Parkway,Native Citizen,2019,Percent,0.67876,211
Williamsbridge,Native Citizen,2019,Percent,0.60105,212
Williamsburg/Greenpoint,Native Citizen,2019,Percent,0.75782,301
Fort Greene/Brooklyn Hts,Native Citizen,2019,Percent,0.80384,302
Bedford Stuyvesant,Native Citizen,2019,Percent,0.80933,303
Bushwick,Native Citizen,2019,Percent,0.69073,304
East New York,Native Citizen,2019,Percent,0.67518,305
Park Slope,Native Citizen,2019,Percent,0.83291,306
Sunset Park,Native Citizen,2019,Percent,0.53984,307
Crown Heights North,Native Citizen,2019,Percent,0.76261,308
Crown Heights South,Native Citizen,2019,Percent,0.6503,309
Bay Ridge,Native Citizen,2019,Percent,0.61923,310
Bensonhurst,Native Citizen,2019,Percent,0.43496,311
Borough Park,Native Citizen,2019,Percent,0.7352,312
Coney Island,Native Citizen,2019,Percent,0.45386,313
Flatbush/Midwood,Native Citizen,2019,Percent,0.6009,314
Sheepshead Bay,Native Citizen,2019,Percent,0.51976,315
Brownsville,Native Citizen,2019,Percent,0.74382,316
East Flatbush,Native Citizen,2019,Percent,0.51867,317
Canarsie,Native Citizen,2019,Percent,0.57981,318
Astoria,Native Citizen,2019,Percent,0.64455,401
Sunnyside/Woodside,Native Citizen,2019,Percent,0.47741,402
Jackson Heights,Native Citizen,2019,Percent,0.40082,403
Elmhurst/Corona,Native Citizen,2019,Percent,0.34862,404
Ridgewood/Glendale,Native Citizen,2019,Percent,0.64032,405
Rego Park/Forest Hills,Native Citizen,2019,Percent,0.50331,406
Flushing,Native Citizen,2019,Percent,0.44098,407
Fresh Meadows/Briarwood,Native Citizen,2019,Percent,0.53341,408
Woodhaven,Native Citizen,2019,Percent,0.47981,409
Howard Beach,Native Citizen,2019,Percent,0.56392,410
Bayside,Native Citizen,2019,Percent,0.5821,411
Jamaica/St. Albans,Native Citizen,2019,Percent,0.54944,412
Queens Village,Native Citizen,2019,Percent,0.55956,413
The Rockaways,Native Citizen,2019,Percent,0.67273,414
St. George,Native Citizen,2019,Percent,0.7528,501
South Beach,Native Citizen,2019,Percent,0.69921,502
Tottenville,Native Citizen,2019,Percent,0.83512,503
Bronx,Native Citizen,2019,Percent,0.66318,36005
Brooklyn,Native Citizen,2019,Percent,0.64628,36047
Manhattan,Native Citizen,2019,Percent,0.72177,36061
Queens,Native Citizen,2019,Percent,0.52396,36081
Staten Island,Native Citizen,2019,Percent,0.7651,36085
New York City,Native Citizen,2019,Percent,0.63762,3651000
Battery Park/Tribeca,Naturalized Citizen,2019,Number,8620.04722,101
Greenwich Village,Naturalized Citizen,2019,Number,12724.95278,102
Lower East Side,Naturalized Citizen,2019,Number,39036,103
Chelsea/Clinton,Naturalized Citizen,2019,Number,16234.7061,104
Midtown Business District,Naturalized Citizen,2019,Number,8125.2939,105
Murray Hill/Stuyvesant,Naturalized Citizen,2019,Number,17220,106
Upper West Side,Naturalized Citizen,2019,Number,22391,107
